Show ID,Show,Date,Venue,Band,Band ID,Memorable Set,Notes
69,Structures Headliner,5/13/2013,Club Absinthe,Intervals,65,,
69,Structures Headliner,5/13/2013,Club Absinthe,Northlane,90,,
70,Washington Parish Fair,10/20/2017,Washington Parish Fair,Little Texas,78,,
70,Washington Parish Fair,10/20/2017,Washington Parish Fair,Shenandoah,108,,
71,The Hunter Tour,11/28/2011,Kool Haus,The Dillinger Escape Plan,41,,
71,The Hunter Tour,11/28/2011,Kool Haus,Red Fang,101,,
71,The Hunter Tour,11/28/2011,Kool Haus,Mastodon,81,,
72,The Resistance Tour,3/8/2010,Scotiabank Arena (Air Canada Centre),Muse,86,,
72,The Resistance Tour,3/8/2010,Scotiabank Arena (Air Canada Centre),Silversun Pickups,112,,
73,MCR Reunion Tour,9/5/2022,Scotiabank Arena (Air Canada Centre),My Chemical Romance,87,X,My 14 year old self can now die happy
74,Evening of Talk and Music,9/28/2019,Convocation Hall,Nick Cave and the Bad Seeds,89,X,Great night out with Dad; cool mix of music and crowd interaction
75,Skeleton Tree Tour,10/28/2018,Scotiabank Arena (Air Canada Centre),Nick Cave and the Bad Seeds,89,,
76,The King of Limbs Tour,6/15/2012,Centre Bell,Radiohead,100,,
77,The SnoCore Tour 2010,3/26/2010,Rebel (Sound Academy),Protest the Hero,99,,
78,Kezia X,12/4/2015,Opera House,Mandroid Echostar,80,,
78,Kezia X,12/4/2015,Opera House,Protest the Hero,99,,
79,Palimpsest Tour,6/11/2022,London Music Hall,Protest the Hero,99,,
79,Palimpsest Tour,6/11/2022,London Music Hall,Choke,171,,
81,Beer! The Musical! Tour,4/25/2008,Rebel (Sound Academy),Protest the Hero,99,,
81,Beer! The Musical! Tour,4/25/2008,Rebel (Sound Academy),Chiodos,28,,
81,Beer! The Musical! Tour,4/25/2008,Rebel (Sound Academy),From First to Last,175,,
82,Pull Me From the Gallows Tour,5/31/2011,Annex Wreckroom,Scale the Summit,107,,
82,Pull Me From the Gallows Tour,5/31/2011,Annex Wreckroom,This or the Apocalypse,123,,
82,Pull Me From the Gallows Tour,5/31/2011,Annex Wreckroom,letlive.,76,,
83,Scurrilous Tour,5/6/2011,Rebel (Sound Academy),Protest the Hero,99,,
83,Scurrilous Tour,5/6/2011,Rebel (Sound Academy),TesseracT,118,,
83,Scurrilous Tour,5/6/2011,Rebel (Sound Academy),Maylene and the Sons of Disaster,176,,
84,Sigur Ros North America 2013,3/30/2013,Scotiabank Arena (Air Canada Centre),Sigur Rós,109,,
85,Valtari Tour,8/1/2012,Echo Beach,Sigur Rós,109,,
86,Sigur Ros North America 2017,6/3/2017,Auditorium Theater,Sigur Rós,109,X,Amazing venue & set; closed with my favourite song of theirs (Popplagio)
87,North America F.E.A.R Tour,6/15/2022,Axis Club (Mod Club),With Confidence,135,,
87,North America F.E.A.R Tour,6/15/2022,Axis Club (Mod Club),Stand Atlantic,113,,
88,Animal I Have Become Tour,11/8/2006,Kool Haus,Three Days Grace,125,X,"First concert ever; couldn't see shit as a 4'11"" tall 13 year old!"
88,Animal I Have Become Tour,11/8/2006,Kool Haus,Theory of a Deadman,121,,
89,Three Days Grace Headliner 2009,12/17/2009,Scotiabank Arena (Air Canada Centre),Three Days Grace,125,,
89,Three Days Grace Headliner 2009,12/17/2009,Scotiabank Arena (Air Canada Centre),The Used,130,,
89,Three Days Grace Headliner 2009,12/17/2009,Scotiabank Arena (Air Canada Centre),Default,177,,
90,Protest the Hero Winter 2014,12/27/2014,Danforth Music Hall,Protest the Hero,99,,
90,Protest the Hero Winter 2014,12/27/2014,Danforth Music Hall,Unearth,129,,
90,Protest the Hero Winter 2014,12/27/2014,Danforth Music Hall,Intervals,65,,
91,Be United Canada Tour,5/18/2018,Hard Luck Bar,This is a Standoff,122,,
92,ABR US/Canada Tour,4/1/2011,London Music Hall,August Burns Red,15,X,Born of Osiris didn't make it over the border
92,ABR US/Canada Tour,4/1/2011,London Music Hall,Texas in July,119,,
92,ABR US/Canada Tour,4/1/2011,London Music Hall,Set Your Goals,178,,
93,Frozen Flame Tour,1/30/2015,The Phoenix,August Burns Red,15,,
93,Frozen Flame Tour,1/30/2015,The Phoenix,Erra,45,,
93,Frozen Flame Tour,1/30/2015,The Phoenix,Northlane,90,,
93,Frozen Flame Tour,1/30/2015,The Phoenix,Miss May I,163,,
94,BTBAM Colors Livestream 2020,8/7/2020,Twitch/Livestream,Between the Buried and Me,19,,
